player_id,date,champion,level,team,result,match_length_mins,kill,death,assist,kda_ratio,kill_participation,laning,cs,cs_per_min,avg_tier,teammates1,team_champ1,teammates2,team_champ2,teammates3,team_champ3,teammates4,team_champ4,oppmates1,opp_champ1,oppmates2,opp_champ2,oppmates3,opp_champ3,oppmates4,opp_champ4,oppmates5,opp_champ5
민철이여친구함-0415,"Fri, Jan 3, 2025 5:50 PM",Viktor,14,blue,0,26.12,3,7,2,0.71,0.63,0.82,217,8.3,2,vietanhdangvui-vanh,K'Sante,%EB%A7%89%ED%8C%90%EC%8A%A4%ED%8D%BC%ED%8A%B8-KR0,Skarner,Clout3375-KR33,Miss Fortune,Effort-4444,Rakan,%EC%83%81%EC%9A%B1Ryu-KR1,Gnar,Raptor-KR123,Vi,Helper-0912,Xerath,DK%20Lucid-KR1,Ezreal,%EC%B0%B8%EC%83%88%ED%81%AC%EB%A9%B4%EB%B9%84%EB%91%98%EA%B8%B0-KR1,Nami
민철이여친구함-0415,"Fri, Jan 3, 2025 3:20 PM",Smolder,12,blue,0,22.37,3,9,3,0.67,0.46,0.39,134,6.0,2,ieada-KR1,Ambessa,jugtao-hkl,Ekko,EZKING-%D0%9AR1,Ziggs,%EC%B4%88%EC%8B%9D%EC%9D%80%20%ED%95%9C%ED%83%80%EC%A3%A0-KR2,Maokai,%EC%A7%80%EC%9D%80%EC%84%B1-0131,Irelia,Juhana-KRR1,Viego,%EB%B0%94%EB%93%A4%EB%B0%94%EB%93%A4%EB%8F%99%EB%AC%BC%EC%BD%98-4992,Viktor,%EC%B9%B4%20%EC%97%98-0211,Corki,Destiny-KR1,Lulu
민철이여친구함-0415,"Fri, Jan 3, 2025 2:43 PM",Jayce,16,red,0,27.25,7,6,3,1.67,0.59,1.5,260,9.5,2,Douyin%20Koe-zypp,Kindred,%EC%B9%98%EC%A7%80%EC%A7%81%20%EB%B0%B1%EC%83%89%EB%A7%90-CHZZK,Aurora,Clout3375-KR33,Corki,OneZang-KR99,Shaco,DK%20Sharvel-KR1,Gnar,%EC%84%9C%EC%9A%B4%ED%95%9C25%EC%82%B4%EA%B9%80%EC%98%88%EC%84%B1-2000,Viego,%EC%9B%A8%EC%9D%B4%EB%9F%AC%EB%AF%B8%EB%8B%9B-511,LeBlanc,KT%20Smeb-0102,Jinx,%EC%9D%B4%EC%8A%A4%EA%B5%BF-KR1,Skarner
민철이여친구함-0415,"Fri, Jan 3, 2025 2:03 PM",Viktor,11,red,1,15.15,2,0,1,Perfect,0.18,1.38,133,8.8,2,%E4%B8%AD%20%E5%9B%BD-%E4%B8%AD%20%E5%9B%BD,Graves,%EC%B9%B4%EB%A6%AC%EB%82%98-8359,Renekton,bai%20se%20zhi%20chuan-%E6%BB%A1%E6%80%80%E6%9C%9F%E5%BE%85,Corki,GEN%20Namgung-2025,Blitzcrank,wrdr-wrdr,Fiora,%EC%83%88%EB%B2%BD%EB%B3%84%EB%B9%9B-kr2,Vi,2J2-%EB%B1%80%EC%9D%98%EB%A8%B8%EB%A6%AC,Galio,IJIJ-kr10,Ashe,%EC%A0%A0%EB%A0%88%EC%8A%A4%EC%A1%B4%EC%A0%9C%EB%A1%9C%EC%9A%B0-KR1,Renata Glasc
민철이여친구함-0415,"Thu, Jan 2, 2025 5:51 PM",Ezreal,13,red,1,20.6,11,4,8,4.75,0.61,1.38,156,7.6,2,Vanana-0110,Camille,%E5%A4%9C%E5%A5%8F%E8%8A%B1-KR11,Pantheon,%EB%8D%B0%EC%9D%B4%EC%8A%A4%ED%83%80-0923,Aurora,%EB%83%90%ED%95%98%ED%95%98-2698,Hwei,%EC%B1%84%ED%8C%85%EC%B9%98%EB%A9%B4%EB%8C%80%EC%B6%A9%ED%95%A8-123,Aurelion Sol,asdjipadsjip-KR1,Viego,fa%20ady-kr3,Galio,%EC%B4%88%EC%BD%94%EB%B0%94-kr11,Caitlyn,%EC%95%8C%ED%8C%8C%EB%A9%94%EC%9D%BC%EC%9D%B4%ED%83%9C%EC%98%81-0707,Bard
민철이여친구함-0415,"Thu, Jan 2, 2025 5:12 PM",Aurora,18,red,1,43.82,10,12,15,2.08,0.63,0.72,274,6.3,2,HyeonJu-ZZang,Akshan,%EA%B8%B0%EB%8C%80%EC%B9%98%20%EA%B0%90%EC%86%8C-%EA%B8%B0%EB%8C%80%ED%95%98%EB%8B%A4,Skarner,May-0411,Varus,Thresing-%ED%98%84%20%EC%84%9C,Janna,Casting-KR11,Jax,like%20jk-ovo,Wukong,Yondaime-Luo,Viktor,soop%20%EB%9D%BC%EC%BF%A499-%EC%B9%98%EC%A7%80%EC%A7%81,Ziggs,Berrrrrr-KR3,Poppy
민철이여친구함-0415,"Thu, Jan 2, 2025 4:06 PM",Corki,15,blue,1,25.7,9,7,12,3.00,0.6,0.85,200,7.8,1,Ra%20Eh-KR1,Fiora,soop%20%EB%9D%BC%EC%BF%A499-%EC%B9%98%EC%A7%80%EC%A7%81,Zyra,%ED%95%98%EC%9D%B4%ED%94%84-KR9,Ezreal,hwaljjak-%ED%99%9C%EC%A7%9D%EC%9B%83%EC%96%B4,Karma,fa%20ady-kr3,K'Sante,Raptor-KR123,Vi,%EA%B2%A8%20%EC%9A%B8-1250,Aurora,HENA%20FAN-123,Ashe,Yondaime-Luo,Neeko
민철이여친구함-0415,"Thu, Jan 2, 2025 2:56 PM",Viktor,10,blue,1,15.22,4,1,4,8.00,0.38,1.78,126,8.3,2,%ED%83%91%EC%9B%90%EA%B1%B0%EB%A6%AC-KR123,Ambessa,123111-2004,Viego,%EC%8B%A0%EC%A7%80%EB%93%9C-BOT,Singed,Cloud-KR07,Neeko,%EB%94%B0%EB%B4%89%20%EB%9E%8C%EB%A8%B8%EC%8A%A4-KR1,Maokai,Swamp-KR3,Sejuani,Guti-0409,Zed,%EB%8C%80%EA%B4%91%20-God,Ashe,%EC%B0%B8%EC%83%88%ED%81%AC%EB%A9%B4%EB%B9%84%EB%91%98%EA%B8%B0-KR1,Poppy
민철이여친구함-0415,"Thu, Jan 2, 2025 12:19 PM",Viktor,11,blue,1,15.75,4,0,1,Perfect,0.26,1.08,131,8.3,2,%ED%83%91%EC%9B%90%EA%B1%B0%EB%A6%AC-KR123,Ambessa,%EB%B0%95%EC%A3%BC%EC%97%B0-KR3,Lee Sin,%ED%95%98%EC%9D%B4%ED%94%84-KR9,Caitlyn,Bonnie-0314,Rakan,fa%20ady-kr3,Gnar,Swamp-KR3,Vi,%EC%88%98%EB%AF%BC%EA%B0%B1-0830,Hwei,gkwuxnq-DRX,Ashe,%EC%B0%B8%EC%83%88%ED%81%AC%EB%A9%B4%EB%B9%84%EB%91%98%EA%B8%B0-KR1,Leona
민철이여친구함-0415,"Mon, Dec 30, 2024 7:45 PM",Viktor,11,red,1,15.17,4,1,6,10.00,0.43,2.33,119,7.8,2,Let%20me%20Jug-0126,Jarvan IV,%ED%86%A0%EC%8B%A4%ED%86%A0%EC%8B%A4%ED%95%9C%EB%B6%95%EC%96%B4-KR1,Yone,Qian-Virgo,Varus,qiufans-wq007,Poppy,Bae%20Suzy-KR1,Galio,heisemaoyi-meet,Lee Sin,Kisai-KJH,Aurora,DRX%20kyeahoo-0630,Corki,Lovepanpan-KR1,Rakan
민철이여친구함-0415,"Mon, Dec 30, 2024 6:39 PM",Viktor,18,red,1,40.37,17,10,14,3.10,0.63,2.45,308,7.6,2,%EC%B0%A8%EA%B0%80%EC%9A%B4%EC%BD%94%EB%81%BC%EB%A6%AC-KR0,Renekton,xxgg-zypp,Qiyana,dydwns7667-7667,Corki,xycg-KR1,Nautilus,cikcik-KR1,Jayce,Ryusei-BLue,Gragas,DK%20Garden-jiman,Ambessa,qweasdqweasdqw-KR1,Miss Fortune,bitten%20bullet-1217,Rakan
민철이여친구함-0415,"Mon, Dec 30, 2024 5:41 PM",Poppy,14,red,1,29.02,4,7,24,4.00,0.46,1.5,29,1.0,2,Ryusei-BLue,Vayne,carpe%20diem-zypp,Rengar,xycg-KR1,Viktor,vietanhdangvui-vanh,Rumble,fa%20ady-kr3,Galio,soop%20%EB%9D%BC%EC%BF%A499-%EC%B9%98%EC%A7%80%EC%A7%81,Zyra,cikcik-KR1,Irelia,%ED%95%98%EC%9D%B4%ED%94%84-KR9,Ashe,%EB%82%98%EB%8A%94%EB%A8%BC%EC%A7%80-KR11,Leona
민철이여친구함-0415,"Sun, Dec 29, 2024 7:24 PM",Ambessa,12,blue,1,15.73,5,1,4,9.00,0.53,3.0,137,8.7,2,nnnlolnnn-0826,K'Sante,%EC%8A%B9%EC%A4%80%EC%9D%B4-KR2,Ekko,FA%ED%9C%98%ED%8C%8C-zepa,Caitlyn,%ED%82%A4%EB%B3%B4%EB%93%9C%EC%97%90%EC%9D%8C%EB%A3%8C%EC%8F%9F%EC%95%84%EC%84%9C%EA%B3%A0%EC%9E%A5%EB%82%B4%EB%8A%94%EC%9D%B4%EB%8F%84%EC%9C%A4-KR1,Lux,%EB%94%B0%EB%B4%89%20%EB%9E%8C%EB%A8%B8%EC%8A%A4-KR1,Maokai,zxas-1212,Wukong,%EC%95%84%EC%9D%B4%EC%8A%A4%ED%8C%80%20MID-%ED%8C%94%EB%A1%9C%EC%9A%B0,Qiyana,wenjian-0420,Jhin,%E6%97%A5%E7%9B%8A%E6%BE%84%E6%98%8E-TES,Rell
민철이여친구함-0415,"Sun, Dec 29, 2024 6:20 PM",Orianna,16,red,1,28.23,5,6,17,3.67,0.63,1.7,223,7.9,2,%EB%94%B0%EB%B4%89%20%EB%9E%8C%EB%A8%B8%EC%8A%A4-KR1,Gnar,%ED%91%B8%EB%B0%94%EC%98%A41-yaha,Viego,%E5%A4%A7%E5%99%A8%E6%99%A9%E6%88%90-%EB%A1%9C%EB%84%AC%EB%A6%AC,Varus,Call%20of%20Silence-Erha,Renata Glasc,%E9%95%B7%E5%B9%BC%E6%9C%89%E5%BA%8F-%E9%80%B2%E9%80%80%E5%85%A9%E9%9B%A3,Rumble,L%205%2022%209-1811,Vi,%ED%95%98%EC%96%97%EA%B3%A0%EC%98%88%EC%81%A8-KR1,Ahri,WE%20GO-%EC%9D%B4%EB%82%98%EA%B2%BD,Kai'Sa,Effort-4444,Rakan
민철이여친구함-0415,"Sun, Dec 29, 2024 5:33 PM",Ezreal,13,red,1,21.77,11,5,8,3.80,0.44,2.57,171,7.9,2,%EC%84%A4%EC%9D%B8%EC%84%9D-2740,Nasus,%EC%A0%95%EA%B8%80%20%EA%B0%80%EC%9D%B4-jug,Nocturne,DRX%20ucal-2025,Aurora,%EC%B9%B4%EB%A5%B4%EB%A7%88%20%EB%A3%B0%EB%A3%A8-kr97,Karma,%EC%9D%B4%EB%A6%84%EC%97%86%EB%8A%94%20%EB%B0%A9%ED%8C%A8-KR1,Renekton,Zac-KR1,Hecarim,Guti-0409,Viktor,%EB%AA%A8%EB%93%A0%EC%9D%BC%EC%9D%80%EA%B0%99%EC%9D%B4-KR1,Varus,%EB%A7%88%EB%B2%95%EA%B3%B5%ED%95%99%20%EC%83%81%EC%9E%90-KR1,Elise
민철이여친구함-0415,"Sat, Dec 28, 2024 6:20 PM",Viktor,11,red,0,16.82,2,5,3,1.00,0.56,0.89,147,8.7,2,%E6%B5%B7%E7%89%9B%E9%98%BF%E7%A6%8F%E7%9A%84%E5%8B%87%E5%A3%AB-666,K'Sante,%ED%97%88%EA%B1%B0%EB%8D%A9-lulu,Lee Sin,DK%20Siwoo-DKtop,Ezreal,Lovepanpan-KR1,Rakan,%EC%B0%A8%EA%B0%80%EC%9A%B4%EC%BD%94%EB%81%BC%EB%A6%AC-KR0,Ambessa,Shylie-KR1,Zyra,%EB%87%8C%20%EB%85%B9%20%EC%82%AC-KR1,Pantheon,lulu-yaha,Jhin,Effort-4444,Maokai
민철이여친구함-0415,"Sat, Dec 28, 2024 5:52 PM",Kalista,12,blue,1,20.92,5,5,6,2.20,0.37,1.44,157,7.5,2,%EC%8A%A4%ED%83%80%20%EC%9D%B4%EB%A0%90-9999,Irelia,%EA%B9%9D%EC%B9%98%EB%A9%B4%EB%84%88%EB%A7%8C%EC%86%90%ED%95%B4-%ED%95%B4%EB%B3%B4%EB%8D%98%EA%B0%80,Rek'Sai,douyin%E6%9C%88%E4%B9%8B%E7%90%86-%E5%96%9C%E6%AC%A2%E6%9F%B3%E4%BA%8C%E5%96%B5,Viktor,%EC%95%8C%ED%8C%8C%EB%A9%94%EC%9D%BC%EC%9D%B4%ED%83%9C%EC%98%81-0707,Neeko,%EC%A0%80%EC%8A%B9%EB%AF%BC-%EC%9D%B4%EC%8A%B9%EB%AF%BC,Rumble,%EC%9E%90%EC%8B%A0%20%EC%9E%88%EB%8A%94%20%ED%98%95-0728,Gwen,%EB%8C%80%EA%B4%91%20-God,Corki,lulu-yaha,Varus,xycg-KR1,Leona
민철이여친구함-0415,"Sat, Dec 28, 2024 5:21 PM",Ashe,12,blue,0,24.15,1,8,7,1.00,0.67,0.89,172,7.1,2,xu%20xu%20bao%20bao-%E5%A4%A9%E7%81%B0%E7%81%B0,Wukong,%EA%B5%90%ED%9A%8C%20%EB%8B%A4%EB%8B%99%EB%8B%88%EB%8B%A4-%EC%B9%98%20%EB%A7%A8,Viego,midqvq9-KR11,Galio,%EB%82%98%EB%8A%94%EB%A8%BC%EC%A7%80-KR11,Nautilus,Pure%20Imagination-sleep,Maokai,%EB%AC%B4%EA%B0%90%EC%A0%95%EC%86%94%EB%9E%AD%EA%B8%B0%EA%B3%84-2007,Lee Sin,douyin%E6%9C%88%E4%B9%8B%E7%90%86-%E5%96%9C%E6%AC%A2%E6%9F%B3%E4%BA%8C%E5%96%B5,Viktor,buc-ccc,Corki,lulu-yaha,Pyke
민철이여친구함-0415,"Sat, Dec 28, 2024 4:47 PM",Ashe,15,red,1,27.98,10,6,14,4.00,0.59,1.44,204,7.3,1,Rich-KR12,Maokai,%ED%97%88%EC%88%98%EC%95%84%EB%B9%84-%EB%AC%B4%EC%A0%81%EC%9D%B4%EC%95%BC,Fiddlesticks,2024FMVP-KR1,Irelia,%EC%B9%B4%EB%A5%B4%EB%A7%88%20%EB%A3%B0%EB%A3%A8-kr97,Lulu,%EC%A0%80%EC%8A%B9%EB%AF%BC-%EC%9D%B4%EC%8A%B9%EB%AF%BC,Jax,asdjipadsjip-KR1,Viego,Ryusei-BLue,Azir,Juhana-KRR1,Varus,%EB%82%98%EB%8A%94%EB%A8%BC%EC%A7%80-KR11,Neeko
민철이여친구함-0415,"Sat, Dec 28, 2024 4:11 PM",Ambessa,15,red,0,27.35,6,6,6,2.00,0.55,1.78,180,6.6,2,%ED%95%B4%20%ED%83%9C-T%201,Irelia,Hegzzz-2020,Lillia,Banye%20Kami-1106,Jayce,Call%20of%20Silence-Erha,Ornn,Rich-KR12,Gragas,Sylvie-77777,Vi,Rainy%20day-0808,Azir,vital-0916,Ashe,qiufans-wq007,Poppy
